"","logFC","logCPM","F","PValue","FDR","EntrezID","Symbol","Regulated"
"381337",0.236753233600322,-0.810743443434855,0.382438645151036,0.548348351074279,0.982645436743512,"381337","Fam178b","Normal"
"216028",-0.471675711033757,-2.37405233660625,0.379301673079915,0.548391003071861,0.982645436743512,"216028","Lrrtm3","Normal"
"74140",-0.0422836867717063,5.47579786615365,0.382169394433317,0.548438735866733,0.982645436743512,"74140","Tm9sf1","Normal"
"214704",-0.599469439965896,-1.79127181811263,0.381868502343419,0.548540779836501,0.982726486163176,"214704","Iqub","Normal"
"68440",-0.083424787334073,2.57144514089374,0.381751115657759,0.54865437943784,0.98282821889771,"68440","Dusp23","Normal"
"28015",0.036620661308147,7.58826123825329,0.381335724447444,0.548868280281566,0.983072508008047,"28015","Polr2m","Normal"
"69320",-0.196102526520337,-0.0927231263758719,0.381284607450995,0.548904408049582,0.983072508008047,"69320","1700007J10Rik","Normal"
"105203",-0.0823848893140531,5.2059122624183,0.381011940592725,0.549035290553825,0.98307680743427,"105203","Tasor2","Normal"
"69237",0.0414336678851641,6.5082769065327,0.380990860769852,0.549046163572729,0.98307680743427,"69237","Gtpbp4","Normal"
"70930",0.0565057863165448,4.88531563673351,0.380755816344659,0.549167471067174,0.98307680743427,"70930","Nol8","Normal"
"269023",0.0620124508244166,3.60630342429457,0.380651809594028,0.549221264879094,0.98307680743427,"269023","Zfp608","Normal"
"52668",-0.0764760669445552,4.37702311822996,0.380541116856834,0.549278325654383,0.98307680743427,"52668","Ifi27","Normal"
"108013",0.0931378920462706,2.3659982218021,0.380541492286443,0.549278378636366,0.98307680743427,"108013","Celf4","Normal"
"56418",0.038016214307155,6.63649626332107,0.380490199519956,0.549304608396997,0.98307680743427,"56418","Ykt6","Normal"
"319433",-0.33285644178704,-1.27715893933926,0.380245207794842,0.549554320137475,0.983342000306965,"319433","Serpine3","Normal"
"21393",0.0536642632903865,8.3533060123399,0.379983377941855,0.549566475459144,0.983342000306965,"21393","Tcap","Normal"
"69303",0.3875583400669,-1.54640205713105,0.379944534015977,0.549718071134412,0.98351152265531,"69303","1700001G11Rik","Normal"
"18128",-0.0827697736775781,4.85364858903737,0.379382105015839,0.549877468304439,0.983680996164539,"18128","Notch1","Normal"
"13972",-0.111282683063599,2.07466472778963,0.379151754962049,0.549997035969734,0.983680996164539,"13972","Gnb1l","Normal"
"69964",-0.213425251176993,-0.494098982964107,0.379029173526794,0.550083052427824,0.983680996164539,"69964","2810403D21Rik","Normal"
